"Sample","X1","X2","X3","X4","X5","Xbar","R","s"
1,10.3,9.8,9.7,9.9,10.2,9.98,0.6,0.26
2,9.9,9.4,10.0,9.4,10.2,9.78,0.8,0.36
3,9.0,9.9,9.6,9.2,10.6,9.66,1.6,0.63
4,10.1,10.6,10.3,9.6,9.7,10.06,1.0,0.42
5,10.8,9.4,9.9,10.1,10.1,10.06,1.4,0.50
6,10.3,10.1,10.0,9.5,9.8,9.94,0.8,0.30
7,8.8,9.3,9.9,8.9,9.3,9.24,1.1,0.43
8,9.4,9.7,9.4,9.9,10.5,9.78,1.1,0.45
9,9.1,8.9,9.8,9.0,9.3,9.22,0.9,0.36
10,8.9,9.4,10.6,9.4,8.7,9.40,1.9,0.74
11,9.0,8.6,9.9,9.6,10.5,9.52,1.9,0.75
12,9.5,9.2,9.4,9.3,9.6,9.40,0.4,0.16
13,9.0,9.4,9.7,9.4,8.6,9.22,1.1,0.43
14,9.4,9.2,9.4,9.3,9.7,9.40,0.5,0.19
15,9.4,10.2,9.0,8.8,10.2,9.52,1.4,0.66
16,9.6,9.5,10.0,9.3,9.4,9.56,0.7,0.27
17,10.2,8.8,10.0,10.1,10.1,9.84,1.4,0.59
18,10.4,9.4,9.9,9.4,9.9,9.80,1.0,0.42
19,11.1,10.5,10.6,9.8,9.4,10.28,1.7,0.68
20,9.3,9.9,10.9,9.5,10.6,10.04,1.6,0.69
21,9.5,10.2,9.7,9.4,10.0,9.76,0.8,0.34
22,10.5,10.5,10.1,9.5,10.3,10.18,1.0,0.41
23,9.8,8.9,9.6,9.8,9.6,9.54,0.9,0.37
24,9.3,9.7,10.3,10.1,9.7,9.82,1.0,0.39
25,10.2,9.6,8.8,9.9,10.2,9.74,1.4,0.58
26,10.8,9.5,10.5,10.5,10.1,10.28,1.3,0.50
27,10.4,9.9,10.1,9.9,10.9,10.24,1.0,0.42
28,11.0,10.8,10.1,9.2,9.9,10.20,1.8,0.72
29,10.3,10.0,10.6,10.0,11.1,10.40,1.1,0.46
30,10.9,10.6,9.9,10.0,10.8,10.44,1.0,0.46
