"x","x-70","Signed Rank"
79.26,9.26,1
80.79,10.79,2
82.07,12.07,3
82.14,12.14,4
57.19,-12.81,-5
55.86,-14.14,-6
42.08,-27.92,-7
41.78,-28.22,-8
100.01,30.01,9
100.36,30.36,10
30.46,-39.54,-11
30.27,-39.73,-12
22.39,-47.61,-13
118.39,48.39,14
118.46,48.46,15
20.32,-49.68,-16
16.69,-53.31,-17
16.50,-53.50,-18
15.95,-54.05,-19
15.16,-54.84,-20
14.22,-55.78,-21
11.64,-58.36,-22
11.48,-58.52,-23
11.28,-58.72,-24
10.08,-59.92,-25
7.28,-62.72,-26
6.87,-63.13,-27
6.23,-63.77,-28
4.57,-65.43,-29
4.09,-65.91,-30
140.09,70.09,31
140.77,70.77,32
