"Short","Long"
 0.54,0.70
 1.02,0.79
 1.40,0.81
 0.88,0.90
 1.68,1.05
 1.16,1.05
 0.82,1.05
 0.93,1.07
 1.26,1.10
 0.79,1.10
 1.27,1.12
 1.16,1.13
 1.34,1.14
 1.08,1.14
 1.14,1.15
 0.91,1.16
 1.03,1.16
 0.82,1.18
 1.18,1.19 
 0.81,1.19 
 0.81,1.20 
 1.28,1.23 
 1.18,1.23 
 0.71,1.24 
 1.10,1.27 
 0.81,1.29 
 1.07,1.30 
 1.34,1.31 
 1.23,1.33 
 1.30,1.33 
 1.60,1.34 
 0.92,1.34 
 1.42,1.35 
 1.55,1.35 
 1.41,1.39 
 1.19,1.40 
 1.61,1.42 
 1.66,1.42 
 1.46,1.42 
 1.61,1.42 
 1.72,1.44 
 1.49,1.44 
 1.65,1.45 
 1.33,1.46 
 0.98,1.47 
 1.53,1.48 
 1.48,1.47 
 1.16,1.48 
 1.38,1.52 
 1.36,1.52 
 1.73,1.55 
 1.35,1.56 
 1.57,1.59 
 1.60,1.61 
