"Day","Wind Speed","Current"
1,4.2,1.9
2,1.4,0.7
3,6.6,2.2
4,4.7,2.0
5,2.6,1.1
6,5.8,2.6
7,1.8,0.3
8,5.8,2.3
9,7.3,2.6
10,7.1,2.7
11,6.4,2.4
12,4.6,2.2
13,1.6,1.1
14,2.3,1.5
15,4.2,1.5
16,3.7,2.1
17,5.9,2.2
18,6.0,2.6
19,10.7,3.2
20,5.3,2.3
21,5.1,1.9
22,4.9,2.3
23,8.3,3.1
24,7.1,2.3
25,9.2,2.9
26,4.4,1.8
27,8.0,2.6
28,10.5,3.0
29,5.1,2.1
30,5.8,2.5
31,2.6,1.4
32,7.7,2.8
33,6.1,2.4
34,5.5,2.2
35,4.7,2.3
36,4.0,2.0
37,2.3,1.2
38,11.9,3.0
39,8.6,2.5
40,5.6,2.1
41,4.2,1.7
42,6.2,2.3
43,7.7,2.6
44,6.6,2.9
45,6.9,2.6
