"Discharge","Peak Flow"
94.24,4110.3
66.57,4961.7
59.79,10275.5
48.52,6616.9
40.00,7459.5
32.30,2784.4
31.20,3266.7
30.69,4368.7
26.65,1328.5
22.75,4437.6
21.20,1983.0
20.57,1320.1
19.77,1735.7
18.62,1944.1
17.96,3420.2
17.84,2655.3
16.06,3470.3
14.69,1561.6
11.63,869.8
11.19,936.8
11.08,1315.7
10.92,1727.1
9.94,768.1
7.86,483.3
6.92,334.5
6.17,1049.9
4.88,485.1
4.49,289.6
3.98,551.8
3.74,288.9
3.25,295.2
3.15,500.1
2.76,611.0
2.64,1311.5
2.59,413.8
2.25,263.2
2.23,490.7
0.99,204.2
0.84,491.7
0.64,74.2
0.52,240.6
0.30,56.6
