"Resistance","Permeability"
 10.09,11.58
 11.37,13.89
 12.08,11.77
 12.25,9.02
 13.08,9.65
 13.52,9.91
 13.75,12.42
 14.19,9.93
 15.13,10.08
 15.13,5.42
 16.07,12.99
 16.51,10.49
 17.18,8.13
 18.34,5.78
 18.84,7.47
 18.34,7.93
 18.17,9.95
 18.67,9.73
 20.28,14.33
 20.17,7.52
 20.17,5.96
 19.94,8.10
 21.72,10.44
 20.94,7.30
 21.44,7.56
 22.05,7.58
 21.66,6.49
 21.72,5.90
 22.66,7.01
 22.10,9.14
 22.82,8.69
 23.99,4.66
 24.82,8.88
 25.70,5.92
 25.98,7.01
 26.37,6.66
 26.42,5.35
 26.75,4.05
 26.92,7.16
 27.80,7.07
 27.80,6.47
 28.63,6.50
 28.47,5.30
 28.19,4.93
 28.97,4.36
 29.85,4.28
 30.02,4.88
 31.79,6.02
 34.28,4.67
 34.61,6.12
