"x1","x2","y"
3.5,80,84
4.1,84,50
2.3,50,93
4.7,93,55
1.7,55,76
4.9,76,58
1.7,58,74
4.6,74,75
3.4,75,80
4.3,80,56
1.7,56,80
3.9,80,69
3.7,69,57
3.1,57,90
4.0,90,42
1.8,42,91
4.1,91,51
1.8,51,79
3.2,79,53
1.9,53,82
4.6,82,51
2.0,51,76
4.5,76,82
3.9,82,84
4.3,84,53
2.3,53,86
3.8,86,51
1.9,51,85
4.6,85,45
1.8,45,88
4.7,88,51
1.8,51,80
4.6,80,49
1.9,49,82
3.5,82,75
4.0,75,73
3.7,73,67
3.7,67,68
4.3,68,86
3.6,86,72
3.8,72,75
3.8,75,75
3.8,75,66
2.5,66,84
4.5,84,70
4.1,70,79
3.7,79,60
3.8,60,86
3.4,86,71
4.0,71,67
2.3,67,81
4.4,81,76
4.1,76,83
4.3,83,76
3.3,76,55
2.0,55,73
4.3,73,56
2.9,56,83
4.6,83,57
1.9,57,71
