"y","z","w","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23"
1850,9520,476,33,4.5,19.8,4.0,4,223,11072,14751,335,26.1,72,19.6,17.6,745,0.50,800,6.00,5.50,10,24,7,20,1.12
932,4272,268,24,3.5,22.3,4.0,2,206,2615,8875,109,27.9,64,16.0,16.0,398,0.25,600,7.00,5.00,10,20,6,20,1.00
556,3296,206,18,2.7,20.3,5.0,2,130,2500,5321,139,28.4,48,15.3,13.5,262,0.25,850,7.00,4.50,8,20,5,18,1.13
217,1088,68,9,3.2,11.0,4.5,1,152,1270,1675,141,11.6,40,17.0,13.8,152,0.25,800,5.00,4.00,8,25,6,16,1.23
199,2587,199,2,1.0,23.8,5.0,1,79,1370,7260,685,17.1,21,28.1,27.5,79,0.15,800,7.50,3.50,5,20,4,14,1.02
56,1560,120,2,0.5,16.6,5.0,1,43,275,1980,137,22.0,15,20.3,20.0,43,0.15,600,5.00,4.00,5,15,1,12,1.02
64,1534,118,2,0.5,18.4,5.0,1,43,330,825,165,23.6,12,24.0,18.3,43,0.15,600,5.05,4.25,5,15,2,12,1.31
397,2660,133,14,3.0,16.0,4.0,1,240,5200,18525,371,12.8,74,27.5,23.0,240,0.25,600,6.00,4.00,8,20,7,22,1.20
1926,11020,551,42,3.5,16.0,4.0,4,280,15500,3821,369,12.8,88,27.5,23.0,1121,0.25,800,8.00,4.00,10,20,9,24,1.20
724,3090,103,15,7.8,15.0,3.5,1,374,4500,5600,300,12.2,114,21.2,18.4,374,0.75,800,5.00,3.50,10,25,12,24,1.15
711,2860,143,25,5.0,16.0,3.5,1,315,2100,6851,87,24.8,60,10.6,10.0,315,0.50,800,6.00,4.00,10,25,11,20,1.06
1818,9900,396,28,4.8,22.0,4.0,3,230,13500,13860,482,17.6,44,20.0,20.0,630,0.50,800,7.00,5.00,10,25,9,18,1.00
619,2626,202,12,3.0,18.0,5.0,1,163,1400,2935,115,26.4,36,13.7,13.9,163,0.25,600,6.00,4.50,8,18,11,18,1.20
375,2060,103,12,5.8,15.0,3.5,1,316,4200,4743,350,11.8,93,20.4,20.4,316,0.50,800,6.50,3.50,10,25,6,14,1.00
214,1600,80,12,3.5,15.0,4.5,1,193,1300,2988,105,20.6,40,13.6,10.2,193,0.50,800,5.00,3.50,10,25,4,14,1.33
300,1820,140,6,2.1,14.0,5.0,1,118,800,1657,133,17.0,24,13.6,12.8,118,0.25,800,5.00,3.75,8,25,6,14,1.06
771,3328,256,30,3.0,14.0,5.0,3,165,2800,2318,92,19.9,43,13.6,9.6,424,0.25,800,5.00,3.75,8,25,6,14,1.42
189,1456,91,12,4.0,17.0,4.5,1,214,2400,3644,200,13.6,53,18.5,16.0,214,0.50,600,6.00,4.00,8,20,4,14,1.15
494,4160,320,27,3.3,20.0,4.5,3,178,6750,3568,250,14.0,44,19.5,16.0,472,0.25,600,6.50,4.50,10,20,3,14,1.20
389,1520,95,6,4.1,19.0,4.0,1,158,2506,3011,401,11.8,38,21.0,12.8,158,0.50,800,5.50,3.50,6,25,8,14,1.30
441,1760,110,6,4.0,22.0,5.0,1,154,2568,3396,428,14.1,35,20.8,16.0,154,0.50,800,7.00,4.00,8,36,8,14,1.35
768,3040,152,12,5.0,24.0,4.0,1,275,5376,6619,448,14.5,65,23.4,17.3,275,0.50,600,7.50,5.50,8,22,11,16,1.40
797,3180,159,9,5.0,25.0,4.0,1,216,4514,5400,501,14.8,52,16.8,15.4,216,0.50,800,8.00,5.50,8,28,12,16,1.10
261,1131,87,3,3.0,17.5,4.0,1,116,1568,2030,522,10.5,24,26.8,17.8,116,0.25,850,6.50,3.00,6,25,5,14,1.50
524,1904,119,6,4.4,18.8,4.0,1,190,3291,3572,548,9.8,42,23.6,16.1,190,0.50,850,6.50,4.50,5,28,9,16,1.45
1262,5070,169,15,7.0,24.6,3.5,1,385,8970,9490,598,12.9,92,23.6,16.6,385,0.75,800,8.00,6.50,15,25,16,20,1.43
839,7080,354,9,5.2,25.5,4.0,1,249,5845,6364,649,13.9,60,25.6,16.0,249,0.50,600,8.00,5.50,12,25,13,16,1.60
1003,3500,175,9,5.7,27.7,4.0,1,246,6095,6248,677,15.1,60,22.3,14.3,246,0.50,800,8.50,6.00,8,28,16,16,1.55
