"x1","x2","x3","y"
50,19,4.0,27.464
90,38,8.0,49.303
70,28,6.5,37.461
70,25,5.5,36.478
60,26,6.5,33.776
70,29,5.0,35.092
60,23,5.5,31.307
70,28,5.5,37.863
80,34,6.5,41.109
70,26,4.5,28.605
70,26,8.0,35.917
70,26,8.0,33.489
60,30,5.0,31.381
60,26,7.0,38.067
70,25,7.5,31.278
70,31,5.5,32.172
60,27,7.5,36.109
60,23,6.0,31.535
60,23,6.0,33.875
60,24,9.0,37.637
70,31,5.5,40.263
80,32,6.0,36.694
60,26,10.0,45.620
70,28,4.5,38.571
60,24,4.0,19.163
50,21,7.0,31.962
50,17,2.0,23.147
80,34,8.5,40.278
70,27,5.5,32.725
60,24,2.5,28.735
70,27,10.0,38.241
80,32,6.5,34.635
50,26,9.0,44.963
50,22,4.0,30.012
80,34,6.5,41.077
50,21,10.0,41.964
80,34,7.5,44.152
60,22,2.5,29.901
60,24,5.0,26.706
60,23,4.0,28.602
60,29,6.5,33.401
70,27,7.5,41.324
70,32,4.0,24.000
60,25,5.5,38.158
60,26,3.5,25.412
70,28,7.5,37.671
60,22,5.5,27.979
60,22,4.5,31.079
60,27,7.0,30.778
60,25,6.0,28.221
60,23,6.5,30.495
60,27,7.5,38.710
80,31,4.5,27.581
80,36,4.5,38.705
60,22,7.5,40.525
70,28,4.5,29.420
60,26,7.0,37.898
60,25,7.0,40.340
60,24,5.0,27.891
70,32,7.5,38.259
70,31,6.0,35.091
60,23,7.0,34.372
50,19,6.0,26.481
60,22,7.5,36.739
70,30,9.5,36.185
70,25,8.0,38.725
50,17,9.5,32.707
70,28,7.0,32.563
60,25,5.5,36.006
70,25,5.5,33.127
70,29,5.0,32.941
70,29,6.5,33.650
50,19,4.5,34.192
60,24,6.5,24.115
60,26,7.5,37.614
60,28,6.0,29.612
60,22,6.5,39.106
60,28,7.5,36.974
60,25,4.0,28.334
50,20,8.5,33.767
60,26,9.5,38.358
60,25,4.0,33.381
60,29,4.0,37.672
70,30,6.0,36.615
60,26,8.0,39.351
60,24,6.5,38.611
60,25,6.0,36.460
60,24,5.5,23.449
60,24,5.0,23.027
70,26,8.0,31.372
