"Speed","Pause","LCR","Overhead"
5,10,9.426,428.90
5,20,8.318,443.68
5,30,7.366,452.38
5,40,6.744,461.24
5,50,6.059,475.07
10,10,16.456,446.06
10,20,13.281,465.89
10,30,11.155,477.07
10,40,9.506,488.73
10,50,8.310,498.77
20,10,26.314,452.24
20,20,19.013,475.97
20,30,14.725,499.67
20,40,12.117,501.48
20,50,10.284,519.20
30,10,33.009,445.45
30,20,22.125,489.02
30,30,16.695,506.23
30,40,13.257,516.27
30,50,11.107,508.18
40,10,37.823,444.41
40,20,24.140,490.58
40,30,17.700,511.35
40,40,14.064,523.12
40,50,11.691,523.36
