"Feed","Speed","Lifetime"
"Light","Slow",60.6
"Light","Slow",57.0
"Light","Slow",61.4
"Light","Slow",59.7
"Light",""Medium",57.8
"Light",""Medium",59.4
"Light",""Medium",62.8
"Light",""Medium",58.2
"Light",""Fast",56.5
"Light",""Fast",52.3
"Light",""Fast",58.1
"Light",""Fast",53.9
"Medium","Slow",51.2
"Medium","Slow",53.1
"Medium","Slow",48.3
"Medium","Slow",51.6
"Medium","Medium",49.6
"Medium","Medium",48.1
"Medium","Medium",49.8
"Medium","Medium",51.1
"Medium","Fast",45.7
"Medium","Fast",48.6
"Medium","Fast",45.0
"Medium","Fast",49.2
"Heavy","Slow",44.8
"Heavy","Slow",46.7
"Heavy","Slow",41.9
"Heavy","Slow",51.3
"Heavy","Medium",46.6
"Heavy","Medium",41.4
"Heavy","Medium",38.3
"Heavy","Medium",37.9
"Heavy","Fast",37.2
"Heavy","Fast",32.8
"Heavy","Fast",39.9
"Heavy","Fast",35.9
