"Taper Material","Neck Length","Friction"
"CPTi-ZrO2","Short",0.254
"CPTi-ZrO2","Short",0.195
"CPTi-ZrO2","Short",0.281
"CPTi-ZrO2","Short",0.289
"CPTi-ZrO2","Short",0.220
"CPTi-ZrO2","Medium",0.196
"CPTi-ZrO2","Medium",0.220
"CPTi-ZrO2","Medium",0.185
"CPTi-ZrO2","Medium",0.259
"CPTi-ZrO2","Medium",0.197
"CPTi-ZrO2","Long",0.329
"CPTi-ZrO2","Long",0.481
"CPTi-ZrO2","Long",0.320
"CPTi-ZrO2","Long",0.296
"CPTi-ZrO2","Long",0.178
"TiAlloy-ZrO2","Short",0.150
"TiAlloy-ZrO2","Short",0.118
"TiAlloy-ZrO2","Short",0.158
"TiAlloy-ZrO2","Short",0.175
"TiAlloy-ZrO2","Short",0.131
"TiAlloy-ZrO2","Medium",0.180
"TiAlloy-ZrO2","Medium",0.184
"TiAlloy-ZrO2","Medium",0.154
"TiAlloy-ZrO2","Medium",0.156
"TiAlloy-ZrO2","Medium",0.177
"TiAlloy-ZrO2","Long",0.178
"TiAlloy-ZrO2","Long",0.198
"TiAlloy-ZrO2","Long",0.201
"TiAlloy-ZrO2","Long",0.199
"TiAlloy-ZrO2","Long",0.210
