"Concentration","Ratio","Sorption"
"15","1 to 0",10.90
"15","1 to 0",8.47
"15","1 to 0",12.43
"15","1 to 1",3.33
"15","1 to 1",2.40
"15","1 to 1",2.67 
"15","1 to 5",0.79
"15","1 to 5",0.76
"15","1 to 5",0.84 
"15","1 to 10",0.54
"15","1 to 10",0.69
"15","1 to 10",0.57
"40","1 to 0",6.84
"40","1 to 0",7.68
"40","1 to 0",6.79
"40","1 to 1",1.72
"40","1 to 1",1.55
"40","1 to 1",1.82 
"40","1 to 5",0.68
"40","1 to 5",0.83
"40","1 to 5",0.89 
"40","1 to 10",0.58
"40","1 to 10",1.13
"40","1 to 10",1.28
"100","1 to 0",6.61
"100","1 to 0",6.66
"100","1 to 0",7.43 
"100","1 to 1",1.25
"100","1 to 1",1.46
"100","1 to 1",1.49
"100","1 to 5",1.17
"100","1 to 5",1.27
"100","1 to 5",1.16
"100","1 to 10",0.93
"100","1 to 10",0.67
"100","1 to 10",0.80
