"A","B","Hardness"
"10","10",875
"10","10",896
"10","10",921
"10","10",686
"10","10",642
"10","10",613
"10","20",712
"10","20",719
"10","20",698
"10","20",621
"10","20",632
"10","20",645
"10","30",568
"10","30",546
"10","30",559
"10","30",757
"10","30",723
"10","30",734
"20","10",876
"20","10",835
"20","10",868
"20","10",812
"20","10",796
"20","10",772
"20","20",889
"20","20",876
"20","20",849
"20","20",768
"20","20",706
"20","20",615
"20","30",756
"20","30",732
"20","30",723
"20","30",681
"20","30",723
"20","30",712
"30","10",901
"30","10",926
"30","10",893
"30","10",856
"30","10",832
"30","10",841
"30","20",789
"30","20",801
"30","20",776
"30","20",845
"30","20",827
"30","20",831
"30","30",792
"30","30",786
"30","30",775
"30","30",706
"30","30",675
"30","30",568
