"Attachment","Length","Load"
"Adhesive","Quarter",7.90
"Adhesive","Quarter",8.71
"Adhesive","Quarter",7.72
"Adhesive","Quarter",8.88
"Adhesive","Quarter",8.55
"Adhesive","Quarter",6.95
"Adhesive","Quarter",7.07
"Adhesive","Quarter",7.59
"Adhesive","Quarter",7.77
"Adhesive","Quarter",7.86
"Adhesive","Half",14.07
"Adhesive","Half",13.82
"Adhesive","Half",14.77
"Adhesive","Half",13.39
"Adhesive","Half",11.98
"Adhesive","Half",12.72
"Adhesive","Half",9.48
"Adhesive","Half",13.59
"Adhesive","Half",13.09
"Adhesive","Half",12.09
"Adhesive","Full",26.80
"Adhesive","Full",28.57
"Adhesive","Full",24.82
"Adhesive","Full",23.51
"Adhesive","Full",27.57
"Adhesive","Full",25.96
"Adhesive","Full",24.28
"Adhesive","Full",25.68
"Adhesive","Full",21.64
"Adhesive","Full",28.16
"Nail","Quarter",6.92
"Nail","Quarter",5.38
"Nail","Quarter",5.38
"Nail","Quarter",5.89
"Nail","Quarter",6.07
"Nail","Quarter",6.37
"Nail","Quarter",7.14
"Nail","Quarter",6.71
"Nail","Quarter",4.36
"Nail","Quarter",6.78
"Nail","Half",9.67
"Nail","Half",9.17
"Nail","Half",10.39
"Nail","Half",10.90
"Nail","Half",10.06
"Nail","Half",9.86
"Nail","Half",10.41
"Nail","Half",10.24
"Nail","Half",9.31
"Nail","Half",11.99
"Nail","Full",20.63
"Nail","Full",21.15
"Nail","Full",24.75
"Nail","Full",20.76
"Nail","Full",21.64
"Nail","Full",21.47
"Nail","Full",25.25
"Nail","Full",22.52
"Nail","Full",20.45
"Nail","Full",20.38
