"Attachment","Length","Modulus"
"Adhesive","Quarter",9.56
"Adhesive","Quarter",10.67
"Adhesive","Quarter",8.82
"Adhesive","Quarter",8.40
"Adhesive","Quarter",9.23
"Adhesive","Quarter",8.20
"Adhesive","Quarter",10.23
"Adhesive","Quarter",9.58
"Adhesive","Quarter",7.57
"Adhesive","Quarter",8.05
"Adhesive","Half",8.74
"Adhesive","Half",9.24
"Adhesive","Half",10.77
"Adhesive","Half",9.10
"Adhesive","Half",8.08
"Adhesive","Half",11.14
"Adhesive","Half",10.00
"Adhesive","Half",9.17
"Adhesive","Half",9.79
"Adhesive","Half",8.13
"Adhesive","Full",9.84
"Adhesive","Full",9.80
"Adhesive","Full",8.31
"Adhesive","Full",7.37
"Adhesive","Full",10.12
"Adhesive","Full",9.18
"Adhesive","Full",8.93
"Adhesive","Full",8.65
"Adhesive","Full",7.89
"Adhesive","Full",9.07
"Nail","Quarter",10.24
"Nail","Quarter",9.38
"Nail","Quarter",9.38
"Nail","Quarter",7.48
"Nail","Quarter",9.23
"Nail","Quarter",9.64
"Nail","Quarter",8.45
"Nail","Quarter",8.12
"Nail","Quarter",8.86
"Nail","Quarter",8.07
"Nail","Half",9.84
"Nail","Half",9.34
"Nail","Half",9.64
"Nail","Half",8.21
"Nail","Half",10.43
"Nail","Half",9.48
"Nail","Half",7.46
"Nail","Half",9.51
"Nail","Half",10.20
"Nail","Half",9.66
"Nail","Full",7.96
"Nail","Full",8.32
"Nail","Full",8.73
"Nail","Full",9.37
"Nail","Full",9.12
"Nail","Full",7.98
"Nail","Full",9.84
"Nail","Full",8.89
"Nail","Full",10.10
"Nail","Full",8.07
