"System","Scheme","Reduction"
"Serial Line","A",6.4
"Serial Line","A",5.8
"Serial Line","A",5.1
"Serial Line","A",8.4
"Serial Line","A",7.0
"Serial Line","A",8.4
"Serial Line","A",8.5
"Serial Line","A",7.5
"Serial Line","A",7.0
"Serial Line","A",7.9
"Serial Line","B",4.7
"Serial Line","B",4.7
"Serial Line","B",3.8
"Serial Line","B",5.3
"Serial Line","B",10.6
"Serial Line","B",4.5
"Serial Line","B",8.2
"Serial Line","B",10.8
"Serial Line","B",5.1
"Serial Line","B",5.7
"Inventory","A",11.0
"Inventory","A",8.9
"Inventory","A",9.3
"Inventory","A",9.2
"Inventory","A",7.9
"Inventory","A",9.7
"Inventory","A",9.0
"Inventory","A",12.5
"Inventory","A",6.7
"Inventory","A",9.8
"Inventory","B",8.9
"Inventory","B",7.0
"Inventory","B",10.7
"Inventory","B",10.3
"Inventory","B",6.2
"Inventory","B",12.2
"Inventory","B",7.0
"Inventory","B",9.5
"Inventory","B",8.7
"Inventory","B",9.7
