"Speed","Time","Wear"
"80","5",5
"80","5",6
"80","5",5
"80","5",5
"80","5",4
"80","5",3
"80","10",8
"80","10",8
"80","10",8
"80","10",8
"80","10",8
"80","10",8
"80","15",11
"80","15",10
"80","15",9
"80","15",9
"80","15",10
"80","15",9
"150","5",9
"150","5",11
"150","5",9
"150","5",8
"150","5",10
"150","5",9
"150","10",14
"150","10",14
"150","10",15
"150","10",13
"150","10",17
"150","10",18
"150","15",16
"150","15",15
"150","15",26
"150","15",24
"150","15",24
"150","15",25
"220","5",34
"220","5",33
"220","5",19
"220","5",21
"220","5",18
"220","5",20
"220","10",60
"220","10",59
"220","10",29
"220","10",31
"220","10",28
"220","10",31
"220","15",65
"220","15",64
"220","15",31
"220","15",33
"220","15",75
"220","15",80
