"WaterWorks","Day","Concentration"
"A","1",29
"A","2",9
"A","3",7
"A","4",35
"A","5",40
"A","6",53
"A","7",38
"A","8",38
"A","9",41
"A","10",34
"A","11",42
"A","12",35
"A","13",38
"A","14",35
"A","15",36
"B","1",24
"B","2",29
"B","3",21
"B","4",24
"B","5",20
"B","6",25
"B","7",15
"B","8",14
"B","9",8
"B","10",12
"B","11",14
"B","12",35
"B","13",32
"B","14",38
"B","15",33
"C","1",25
"C","2",17
"C","3",20
"C","4",24
"C","5",19
"C","6",19
"C","7",17
"C","8",23
"C","9",22
"C","10",27
"C","11",17
"C","12",33
"C","13",33
"C","14",39
"C","15",37
"D","1",31
"D","2",37
"D","3",34
"D","4",30
"D","5",39
"D","6",41
"D","7",34
"D","8",34
"D","9",29
"D","10",33
"D","11",33
"D","12",34
"D","13",16
"D","14",31
"D","15",16
