"A","B","C","D","E","Outcome"
-1,-1,-1,-1,-1,2486.8
 1,-1,-1,-1,-1,1328.1
-1, 1,-1,-1,-1,2470.2
 1, 1,-1,-1,-1,1303.2
-1,-1, 1,-1,-1,6817.4
 1,-1, 1,-1,-1,3845.2
-1, 1, 1,-1,-1,7045.1
 1, 1, 1,-1,-1,3992.2
-1,-1,-1, 1,-1,2912.3
 1,-1,-1, 1,-1,1507.2
-1, 1,-1, 1,-1,2885.3
 1, 1,-1, 1,-1,1491.8
-1,-1, 1, 1,-1,7723.0
 1,-1, 1, 1,-1,4289.3
-1, 1, 1, 1,-1,7952.8
 1, 1, 1, 1,-1,4505.5
-1,-1,-1,-1, 1,2508.6
 1,-1,-1,-1, 1,1319.4
-1, 1,-1,-1, 1,2446.8
 1, 1,-1,-1, 1,1303.3
-1,-1, 1,-1, 1,6864.7
 1,-1, 1,-1, 1,3875.0
-1, 1, 1,-1, 1,6994.2
 1, 1, 1,-1, 1,3961.2
-1,-1,-1, 1, 1,2915.0
 1,-1,-1, 1, 1,1536.7
-1, 1,-1, 1, 1,2872.8
 1, 1,-1, 1, 1,1477.9
-1,-1, 1, 1, 1,7731.6
 1,-1, 1, 1, 1,4345.1
-1, 1, 1, 1, 1,7969.1
 1, 1, 1, 1, 1,4494.5
