"Fertilizer","Zone","Sap Production"
"Low","Southern Zone",76.2
"Low","Southern Zone",80.4
"Low","Southern Zone",74.2
"Low","Central Zone",79.4
"Low","Central Zone",87.9
"Low","Central Zone",86.9
"Low","Northern Zone",84.5
"Low","Northern Zone",85.2
"Low","Northern Zone",80.1
"Medium","Southern Zone",87.0
"Medium","Southern Zone",95.1
"Medium","Southern Zone",93.0
"Medium","Central Zone",98.2
"Medium","Central Zone",94.7
"Medium","Central Zone",96.2
"Medium","Northern Zone",88.4
"Medium","Northern Zone",90.4
"Medium","Northern Zone",92.2
"High","Southern Zone",84.2
"High","Southern Zone",87.5
"High","Southern Zone",83.1
"High","Central Zone",90.3
"High","Central Zone",89.9
"High","Central Zone",93.2
"High","Northern Zone",81.4
"High","Northern Zone",84.7
"High","Northern Zone",82.2
