"Depth","Days","PAH"
0,25,11.15
0,25,11.39
0,25,11.36
0,45,9.28
0,45,8.15
0,45,8.59
0,90,7.68
0,90,7.59
0,90,7.41
5,25,14.40
5,25,11.78
5,25,11.92
5,45,9.44
5,45,9.34
5,45,9.33
5,90,7.53
5,90,7.92
5,90,7.12
15,25,11.51
15,25,11.01
15,25,11.09
15,45,9.34
15,45,9.11
15,45,8.94
15,90,7.43
15,90,7.47
15,90,7.53
30,25,12.77
30,25,12.18
30,25,11.65
30,45,9.37
30,45,9.27
30,45,9.05
30,90,7.60
30,90,7.48
30,90,7.84
50,25,11.71
50,25,11.29
50,25,11.20
50,45,9.25
50,45,8.97
50,45,9.29
50,90,7.76
50,90,7.84
50,90,7.68
75,25,11.18
75,25,11.45
75,25,11.27
75,45,9.09
75,45,8.86
75,45,8.78
75,90,7.72
75,90,7.61
75,90,7.74
