"Catalyst","Reagent","Yield"
"A","1",86.8
"A","1",82.4
"A","1",86.7
"A","1",83.5
"A","2",93.4
"A","2",85.2
"A","2",94.8
"A","2",83.1
"A","3",77.9
"A","3",89.6
"A","3",89.9
"A","3",83.7
"B","1",71.9
"B","1",72.1
"B","1",80.0
"B","1",77.4
"B","2",74.5
"B","2",87.1
"B","2",71.9
"B","2",84.1
"B","3",87.5
"B","3",82.7
"B","3",78.3
"B","3",90.1
"C","1",65.5
"C","1",72.4
"C","1",76.6
"C","1",66.7
"C","2",66.7
"C","2",77.1
"C","2",76.7
"C","2",86.1
"C","3",72.7
"C","3",77.8
"C","3",83.5
"C","3",78.8
"D","1",63.9
"D","1",70.4
"D","1",77.2
"D","1",81.2
"D","2",73.7
"D","2",81.6
"D","2",84.2
"D","2",84.9
"D","3",79.8
"D","3",75.7
"D","3",80.5
"D","3",72.9
